Name,Description,Category,Hours,Location,PC,Phone,Email,Website,X,Y
ACORN Canada,,Government and Justice Services,"By appointment only: Fridays, 1:30 pm - 6:00 pm, Saturdays, 8:00 pm - 5:00 pm",Suite 2 - 630B Carnarvon St,V3M 1E5,604-522-8707,bcacorn@acorncanada.org,https://www.nwpl.ca/database/files/library/Community_Volunteer_Tax_Program___March_2018(1).pdf,-122.90963686974206,49.203496743701606
BC Provincial Government - Ministry of Child and Family Development - Aboriginal Circle 6 Tri-Cities Family Services,,Government and Justice Services,,201 - 768 Columbia St,V3M 1B4,604-660-5149,,https://www2.gov.bc.ca/gov/content/family-social-supports/data-monitoring-quality-assurance/find-services-for-children-teens-families/sda-new-westminister-aboriginal-circle-6?keyword=new&keyword=westminster&keyword=bc,-122.910794429807,49.201189703788145
British Columbia Provincial Government - Family Justice Centre,,Government and Justice Services,"Monday, Tuesday, Wednesday and Friday, 8:00 am - 5:15 pm, Thursday, 8:00 am - 7:00 pm",204 - 88 Tenth St,V3M 6H8,604-660-8636,,http://www.clicklaw.bc.ca/helpmap/service/1019,-122.91713496972558,49.20120677816973
British Columbia Provincial Government - Ministry of Children and Family Development,,Government and Justice Services,,201 - 1065 Columbia St,V3M 6H7,604-660-9495,,https://www2.gov.bc.ca/gov/content/family-social-supports/data-monitoring-quality-assurance/find-services-for-children-teens-families/sda-new-westminster-columbia-st?keyword=new&keyword=westminster&keyword=bc,-122.9190590670046,49.20075296762267
British Columbia Provincial Government - Ministry of Children and Family Development,,Government and Justice Services,,200 - 237 E Columbia St,V3L 3W4,604-660-5211,,https://www2.gov.bc.ca/gov/content/family-social-supports/data-monitoring-quality-assurance/find-services-for-children-teens-families/sda-new-westminister-after-hours?keyword=new&keyword=westminster&keyword=bc,-122.89320328399515,49.2248494547638
British Columbia Provincial Government - Ministry of Justice - New Westminster Community Corrections,,Government and Justice Services,,103 - 80A Sixth St,V3L 5B3,604-660-8834,,https://www2.gov.bc.ca/gov/content/justice/criminal-justice/corrections/probation-offices/mailing-addresses,-122.91055787308517,49.20482320562745
British Columbia Provincial Government - Ministry of Social Development and Poverty Reduction - Employment and Assistance Office,,Government and Justice Services,,202 - 1015 Columbia St,V3M 6H6,1-866-866-0800,,https://www2.gov.bc.ca/gov/content/family-social-supports/income-assistance/access-services,-122.91787120219065,49.20139871416298
Century House - Taxfiling clinics,,Government and Justice Services,Generally March of each year,620 Eighth St,V3M 3S2,604-519-1066,,https://www.nwpl.ca/database/files/library/Community_Volunteer_Tax_Program___March_2018(1).pdf,-122.92609125314297,49.21175628935308
City of New Westminster - City Hall,,Government and Justice Services,"Monday, 8:00 am - 8:00 pm, Tuesday-Friday, 8:00am-5:00pm",511 Royal Ave,V3L 1H9,604-521-3711,info@newwestcity.ca,https://www.newwestcity.ca/city_hall/,-122.9108959983948,49.206781679884436
City of New Westminster - Fire & Rescue Services,,Government and Justice Services,"Non-emergency hours: Monday to Friday, 8:30 am - 4:30 pm",1 E Sixth Ave,V3L 4G6,"604-519-1000 (non-emergency), 911 (emergency)",fire@newwestcity.ca,https://www.newwestcity.ca/services/public-safety/fire-and-rescue-services/about-new-westminster-fire-and-rescue-services,-122.90823879996866,49.22020726264855
City of New Westminster - Police Department,,Government and Justice Services,"Non-emergency services: Monday- Friday, 8:00 am - 6:00 pm, Saturday-Sunday, 8:00 am - 1:00 pm and 2:00 pm - 6:00 pm",555 Columbia St,V3L 1B2,"604-525-5411 (non-emergency), 911 (emergency)",inf@nwpolice.org,http://www.nwpolice.org/,-122.90763511920632,49.203703522925274
Douglas College Commerce & Business Association - Community Income Tax Clinic,,Government and Justice Services,Generally March-April of every year,700 Royal Ave,V3M 5Z5,,vp-accounting@dc-ba.com,https://www.nwpl.ca/database/files/library/Community_Volunteer_Tax_Program___March_2018(1).pdf,-122.91274781516022,49.20350201411526
Elizabeth Fry Society of Greater Vancouver,,Government and Justice Services,,402 E Columbia St,V3L 3X1,604-520-1166,info@elizabethfry.com,https://www.elizabethfry.com/,-122.89242926128995,49.22805504991801
Federal Government of Canada - Service Canada Centre,,Government and Justice Services,"Monday-Friday, 8:30am-4:00pm",201 - 620 Royal Ave,V3M 1J2,1-800-926-9105,,http://www1.servicecanada.gc.ca/cgi-bin/sc-dsp.cgi?rc=5940&ln=e#pa,-122.91148369358666,49.20491835146481
Fraser Health Authority - Public Health Unit,,Government and Justice Services,,218 - 610 Sixth St,V3L 3C2,604-777-6740,,https://www.fraserhealth.ca/find-us/public-health-units/,-122.92252572535635,49.212490006536555
Grace Multicultural Services - Taxfiling clinic,,Government and Justice Services,Generally offered in March and April of each year,C - 369 Columbia St,V3L 5S3,604-526-7732,,https://www.nwpl.ca/database/files/library/Community_Volunteer_Tax_Program___March_2018(1).pdf,-122.90526186157656,49.20499428355258
Seniors Services Society - Taxfiling clinic,,Government and Justice Services,,750 Carnarvon St,V3M 1E7,604-520-6621,,http://www.seniorsservicessociety.ca/staxclinic.htm,-122.9116023674434,49.202383459116035
The Image of God Church - Taxfiling clinic,,Government and Justice Services,Generally offered in March and April of each year,925 Tenth St,V3M 4A8,778-240-7191,,https://www.nwpl.ca/database/files/library/Community_Volunteer_Tax_Program___March_2018(1).pdf,-122.93314490646748,49.21498017456232
Union Gospel Mission,,Government and Justice Services,,658 Clarkson St,V3M 1E1,604-525-8989,contact@ugm.ca ,https://www.ugm.ca/program-meal-times/,-122.90934416053088,49.202799308421426
